,Area,Mean,Min,Max,X,Y,Slice,Frame
1,0,36,36,36,513.167,632.167,1,1
2,0,13,13,13,511.5,627,1,2
3,0,18,18,18,514.5,618.833,1,3
4,0,8,8,8,515.333,617.167,1,4
5,0,37,37,37,517,623.333,1,5
6,0,44,44,44,516.667,623.833,1,6
7,0,18,18,18,515.333,619.5,1,7
8,0,44,44,44,515.833,620.5,1,8
9,0,15,15,15,516.167,622.333,1,9
10,0,50,50,50,517.333,621.167,1,10
11,0,43,43,43,517.833,624.5,1,11
12,0,38,38,38,532.833,606.667,1,12
13,0,30,30,30,530.833,607.333,1,13
14,0,23,23,23,534.667,609.833,1,14
15,0,19,19,19,534.667,609,1,15
16,0,31,31,31,533.833,610.167,1,16
17,0,37,37,37,532,611.667,1,17
18,0,65,65,65,532.333,611.667,1,18
19,0,51,51,51,532,612.5,1,19
20,0,73,73,73,530.833,611.333,1,20
21,0,44,44,44,530.833,615.167,1,21
22,0,22,22,22,530.833,614.167,1,22
23,0,20,20,20,528.667,619,1,23
24,0,14,14,14,530.833,616.833,1,24
25,0,35,35,35,529.167,618.167,1,25
26,0,30,30,30,534.167,614.5,1,26
27,0,39,39,39,537.833,607.667,1,27
28,0,30,30,30,539.167,600.667,1,28
29,0,29,29,29,542.167,592.667,1,29
30,0,22,22,22,551.833,584.167,1,30
31,0,38,38,38,556.667,578.833,1,31
32,0,30,30,30,563.167,572.667,1,32
33,0,51,51,51,565.667,563.833,1,33
34,0,94,94,94,570,555.667,1,34
35,0,68,68,68,571,547,1,35
36,0,0,0,0,482.75,1599.25,1,1
37,0,94,94,94,484,1601.5,1,2
38,0,109,109,109,484.25,1600.25,1,3
39,0,37,37,37,482.25,1600.5,1,4
40,0,55,55,55,479.833,1601.833,1,5
41,0,137,137,137,481.5,1601.833,1,6
42,0,150,150,150,479.667,1600.833,1,7
43,0,152,152,152,483,1602.167,1,8
44,0,138,138,138,483.167,1602.333,1,9
45,0,75,75,75,488.167,1603.833,1,10
46,0,211,211,211,484,1603.333,1,11
47,0,148,148,148,484.167,1604,1,12
48,0,107,107,107,485,1603,1,13
49,0,157,157,157,488.167,1607.167,1,14
50,0,138,138,138,488.5,1606.333,1,15
51,0,67,67,67,489.667,1606.667,1,16
52,0,65,65,65,487,1606.833,1,17
53,0,39,39,39,488.167,1607.333,1,18
54,0,42,42,42,487.667,1607.667,1,19
55,0,52,52,52,485.667,1608.167,1,20
56,0,56,56,56,486.5,1609.833,1,21
57,0,64,64,64,486.667,1609.333,1,22
58,0,40,40,40,493.167,1611.5,1,23
59,0,59,59,59,494.167,1612.333,1,24
60,0,49,49,49,494.833,1613.5,1,25
61,0,78,78,78,497.333,1613.167,1,26
62,0,63,63,63,495.167,1612.333,1,27
63,0,47,47,47,496.5,1614.5,1,28
64,0,32,32,32,498,1615.167,1,29
65,0,131,131,131,494.333,1613.167,1,30
66,0,112,112,112,493.167,1613.167,1,31
67,0,92,92,92,495.333,1615,1,32
68,0,148,148,148,496.333,1615.5,1,33
69,0,43,43,43,495.667,1616.333,1,34
70,0,116,116,116,496.833,1615.833,1,35
71,0,55,55,55,469.5,1561.5,5,1
72,0,89,89,89,469.25,1562.5,5,2
73,0,50,50,50,465.75,1561.25,5,3
74,0,38,38,38,461.5,1560.75,5,4
75,0,47,47,47,461,1559,5,5
76,0,43,43,43,460,1560.75,5,6
77,0,78,78,78,461.25,1558.5,5,7
78,0,49,49,49,459.75,1563.25,5,8
79,0,46,46,46,459.75,1562.75,5,9
80,0,35,35,35,458.5,1564.5,5,10
81,0,27,27,27,460.5,1564.25,5,11
82,0,21,21,21,459.75,1565.5,5,12
83,0,28,28,28,461.25,1564.75,5,13
84,0,39,39,39,463.25,1568.25,5,14
85,0,45,45,45,461.25,1569.75,5,15
86,0,51,51,51,465,1570.5,5,16
87,0,62,62,62,462.75,1572,5,17
88,0,41,41,41,463.25,1571.25,5,18
89,0,44,44,44,463.5,1571.5,5,19
90,0,53,53,53,459.75,1571.75,5,20
91,0,80,80,80,462.25,1573.25,5,21
92,0,67,67,67,462.25,1573.75,5,22
93,0,63,63,63,463,1573.5,5,23
94,0,72,72,72,464.75,1575.75,5,24
95,0,75,75,75,466.5,1576,5,25
96,0,45,45,45,466.5,1578.25,5,26
97,0,39,39,39,472.75,1580.25,5,27
98,0,64,64,64,468.75,1578.25,5,28
99,0,69,69,69,466.75,1578.75,5,29
100,0,20,20,20,466,1578,5,30
101,0,46,46,46,465.75,1578,5,31
102,0,91,91,91,466.5,1579,5,32
103,0,46,46,46,467,1580,5,33
104,0,47,47,47,467.5,1581.75,5,34
